libsm,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libSM-1.2.2-2.el7.src.rpm,
libsoup,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libsoup-2.56.0-3.el7.src.rpm,
libtalloc,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libtalloc-2.1.9-1.el7.src.rpm,
libtdb,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libtdb-1.3.12-2.el7.src.rpm,
libtevent,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libtevent-0.9.31-1.el7.src.rpm,
libtheora,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libtheora-1.1.1-8.el7.src.rpm,
libupnp,middle,https://sourceforge.net/projects/pupnp/files/,browser
libusb,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/libusb-0.1.4-3.el7.src.rpm,
libvlc,major,https://github.com/videolan/vlc/archive/2.2.0-git.zip,
libvorbis,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libvorbis-1.3.3-8.el7.src.rpm,
libx11,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libX11-1.6.5-1.el7.src.rpm,
libxau,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXau-1.0.8-2.1.el7.src.rpm,
libxdmcp,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXdmcp-1.1.2-6.el7.src.rpm,
libxext,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXext-1.3.3-3.el7.src.rpm,
libxfixes,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXfixes-5.0.3-1.el7.src.rpm,
libxfont,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXfont-1.5.2-1.el7.src.rpm,
libxft,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXft-2.3.2-2.el7.src.rpm,
libxi,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXi-1.7.9-1.el7.src.rpm,
libxkbfile,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libxkbfile-1.0.9-3.el7.src.rpm,
libxmu,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXmu-1.1.2-2.el7.src.rpm,
libxrandr,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXrandr-1.5.1-2.el7.src.rpm,
libxrender,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXrender-0.9.10-1.el7.src.rpm,
libxt,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXt-1.1.5-3.el7.src.rpm,
libxxf86vm,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/libXxf86vm-1.1.4-1.el7.src.rpm,
linux,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/libhbalinux-1.0.17-2.el7.src.rpm,
linux-fusion,major,https://github.com/deniskropp/linux-fusion/archive/master.zip,
lrzsz,major,http://vault.centos.org/7.4.1708/os/Source/SPackages/lrzsz-0.12.20-36.el7.src.rpm,
lsof,middle,http://vault.centos.org/7.4.1708/os/Source/SPackages/lsof-4.87-4.el7.src.rpm,
